BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,2.98E+09,0,0,300002,1953671
1,1.62E+09,299935,3590783,300013,3591604
2,2.42E+09,299989,2492923,300004,2492972
3,2.75E+09,0,9,300000,1893224
4,2.34E+09,0,3,300001,1457084
5,2.25E+09,0,0,300005,2554690
6,1.56E+09,299986,3278489,300002,3278514
7,3.56E+09,0,10,300002,1846233
8,1.75E+09,299987,3443874,300002,3443905
9,3.45E+09,0,0,300007,2517491
10,2.68E+09,0,0,300000,1891351
11,2.91E+09,299999,2521798,300014,2521874
12,3.24E+09,0,22,300004,1945682
13,3.30E+09,299996,2511094,300011,2511100
14,2.26E+09,0,9,300006,2598901
15,2.32E+09,299976,3020434,300007,3020699
16,2.94E+09,0,4,300002,2019016
17,2.39E+09,0,0,300000,1963866
18,1.51E+09,299989,3604750,300005,3604764
19,1.69E+09,299970,3716836,300001,3717027
