BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.7919656269612497E8,599219.0,22510106,600000.0,22540273
1,1.4961961787929264E8,599016.0,24692835,600000.0,24731577
2,1.4922208403087404E8,599717.0,21428987,600014.0,21439139
3,1.6419639317076004E8,599133.0,24911565,600008.0,24946691
4,1.4259311768792444E8,597928.0,21583630,600006.0,21653066
5,1.366763840786981E8,594466.0,25510158,600014.0,25740703
6,1.390942115073773E8,593022.0,25447574,600009.0,25690976
7,1.6108623761492103E8,597465.0,20167939,600012.0,20241154
8,1.6941928399302784E8,599257.0,24818815,600007.0,24847117
9,1.7998551225879693E8,580457.0,22904597,600001.0,23646783
10,1.581751235917957E8,597638.0,22903715,600003.0,22985389
11,1.5523124323403215E8,596397.0,22048370,600007.0,22159786
12,1.5635616940126175E8,598871.0,26307526,600012.0,26354292
13,1.6080904354018587E8,597201.0,22945169,600013.0,23040814
14,1.3798259141983935E8,599257.0,24628664,600007.0,24656278
15,1.559317340374192E8,598658.0,24232567,600002.0,24279392
16,1.499000978355694E8,595639.0,21362455,600000.0,21489386
17,1.3820362033751512E8,597511.0,21480281,600011.0,21553780
18,1.399456941960355E8,599805.0,25637090,600008.0,25645227
19,1.540155419463684E8,591505.0,25457976,600005.0,25813036
