BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.7908577139192992E8,599545.0,23575527,600013.0,23594626
1,1.4966560597143295E8,599224.0,23989865,600006.0,24019432
2,1.4917486431252018E8,599457.0,21676225,600013.0,21695256
3,1.6420188586766908E8,594789.0,24488503,600008.0,24704744
4,1.4266725941003785E8,598579.0,21008769,600001.0,21055755
5,1.3667906582187635E8,598201.0,25249903,600013.0,25326496
6,1.390942115073773E8,592623.0,25447574,600004.0,25739820
7,1.6108623761492103E8,599424.0,20167939,600000.0,20184193
8,1.6951573179768345E8,599971.0,24644662,600002.0,24645452
9,1.7999568783894768E8,599308.0,22800367,600011.0,22827283
10,1.581731781213277E8,598688.0,23064821,600009.0,23109775
11,1.5523124323403215E8,598173.0,22048370,600001.0,22112610
12,1.5637641282871076E8,599108.0,26139255,600014.0,26178954
13,1.6079423276221293E8,598573.0,23256879,600011.0,23311579
14,1.379795260688597E8,599454.0,24745950,600001.0,24767399
15,1.557394500773527E8,599728.0,24718346,600009.0,24728564
16,1.4996285793566373E8,599568.0,20913903,600006.0,20927145
17,1.3820362033751512E8,599198.0,21480281,600011.0,21506727
18,1.3994604142546046E8,599039.0,25545492,600008.0,25584552
19,1.54015544185359E8,599398.0,25431653,600008.0,25457513
