BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.79E+08,599545,23575527,600013,23594626
1,1.50E+08,599224,23989865,600006,24019432
2,1.49E+08,599457,21676225,600013,21695256
3,1.64E+08,594789,24488503,600008,24704744
4,1.43E+08,598579,21008769,600001,21055755
5,1.37E+08,598201,25249903,600013,25326496
6,1.39E+08,592623,25447574,600004,25739820
7,1.61E+08,599424,20167939,600000,20184193
8,1.70E+08,599971,24644662,600002,24645452
9,1.80E+08,599308,22800367,600011,22827283
10,1.58E+08,598688,23064821,600009,23109775
11,1.55E+08,598173,22048370,600001,22112610
12,1.56E+08,599108,26139255,600014,26178954
13,1.61E+08,598573,23256879,600011,23311579
14,1.38E+08,599454,24745950,600001,24767399
15,1.56E+08,599728,24718346,600009,24728564
16,1.50E+08,599568,20913903,600006,20927145
17,1.38E+08,599198,21480281,600011,21506727
18,1.40E+08,599039,25545492,600008,25584552
19,1.54E+08,599398,25431653,600008,25457513
20,1.54E+08,598794,21424319,600013,21467253
21,1.49E+08,599146,25079044,600006,25114002
22,1.32E+08,596098,22154082,600013,22288669
23,1.70E+08,598492,20321631,600008,20368930
24,1.79E+08,596887,19458188,600012,19544969
25,1.84E+08,599107,23893324,600014,23927683
26,1.53E+08,599770,20768999,600004,20775608
27,1.61E+08,599971,23233476,600000,23234205
28,1.61E+08,599316,24467657,600001,24492252
29,1.21E+08,599432,23858752,600010,23881223
30,1.51E+08,599442,25956165,600005,25978685
31,1.37E+08,596721,24904173,600003,25042660
32,1.39E+08,598593,23056445,600013,23107769
33,1.88E+08,599846,23795962,600002,23801603
34,1.11E+08,598031,23729357,600009,23800630
35,1.31E+08,599956,24252854,600003,24254013
36,1.43E+08,589485,23342220,600006,23747630
37,1.20E+08,592877,24654339,600013,24946050
38,1.49E+08,598690,23897629,600004,23944179
39,1.54E+08,578519,22340251,600006,23135414
40,2.10E+08,596200,19592883,600013,19713207
41,1.34E+08,593286,24379306,600006,24641274
42,1.65E+08,501541,19275357,600004,22826758
43,1.05E+08,595519,25348570,600010,25534018
44,1.38E+08,594448,23721989,600014,23937632
45,1.68E+08,599810,22368534,600005,22375182
46,1.21E+08,597733,25233385,600004,25321536
47,1.63E+08,598142,23241000,600001,23309323
48,9.84E+07,597940,24967018,600001,25048464
49,1.44E+08,599511,24280246,600011,24299357
50,9.27E+07,598676,23405042,600005,23455465
51,1.30E+08,575031,22396658,600003,23327317
52,1.57E+08,597374,23939103,600013,24039626
53,1.60E+08,599565,24753930,600002,24769008
54,1.16E+08,592561,22093747,600009,22360910
55,1.20E+08,598487,20854043,600014,20900219
56,1.56E+08,572455,19267299,600000,20068698
57,1.56E+08,599547,23947965,600005,23961604
58,1.77E+08,599284,25162836,600001,25188656
59,1.29E+08,599252,21284926,600002,21314004
60,1.18E+08,599560,22678079,600013,22696475
61,1.14E+08,594036,22960599,600006,23189844
62,1.99E+08,598629,19906957,600014,19949014
63,1.15E+08,598476,24283101,600008,24337611
64,1.43E+08,541119,18803754,600000,20447454
65,1.15E+08,599819,25125757,600006,25133749
66,1.43E+08,598890,25785898,600000,25831446
67,1.21E+08,599720,22604991,600001,22615251
68,1.27E+08,598530,25303876,600015,25364056
69,1.63E+08,594228,23768111,600010,23972614
70,1.66E+08,595098,22745671,600005,22925097
71,1.57E+08,599941,22449161,600003,22451244
72,1.87E+08,595561,21518306,600014,21680583
73,1.60E+08,597087,22143016,600002,22245208
74,1.65E+08,599759,19711520,600009,19718396
75,1.55E+08,599737,22714015,600003,22723236
76,1.41E+08,598111,23092819,600006,23156328
77,1.87E+08,599722,21425784,600013,21434417
78,1.70E+08,598800,20356710,600005,20393901
79,1.56E+08,594658,21833850,600002,22018967
80,1.56E+08,540163,17883090,600013,19684767
81,2.12E+08,587583,19462970,600006,19844989
82,1.62E+08,599911,21781209,600005,21784529
83,1.37E+08,599868,23919742,600008,23924499
84,1.59E+08,575483,22212726,600001,23098115
85,1.70E+08,588427,19358456,600006,19705388
86,1.46E+08,590249,21210458,600000,21546877
87,1.60E+08,577670,21987642,600001,22769385
88,1.23E+08,598300,20272006,600003,20328396
89,9.82E+07,599589,25709509,600011,25727243
90,1.52E+08,590535,19604080,600005,19851976
91,1.17E+08,589734,20226877,600001,20549861
92,1.72E+08,599624,22599650,600013,22612072
93,1.39E+08,597868,22363368,600002,22437324
94,1.38E+08,598233,22711177,600009,22774605
95,1.48E+08,583430,23483259,600003,24077346
96,1.59E+08,599677,24815335,600005,24827434
97,1.54E+08,568484,19193931,600013,20089284
98,1.30E+08,599911,24625425,600005,24628855
99,7.81E+07,599786,26271567,600005,26280413
,,,,,
