BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.850506630446842E8,596507.0,19373965,600007.0,19477714
1,1.4729544208674785E8,599977.0,22452138,600008.0,22452651
2,1.6273713900331658E8,580987.0,15114712,600004.0,15556295
3,1.6927059930038348E8,519329.0,18386924,600012.0,20995423
4,1.5580088681192046E8,597204.0,16796025,600004.0,16857413
5,1.3830312886793238E8,599874.0,22561103,600015.0,22565195
6,1.4079761260353032E8,597863.0,22062859,600002.0,22135502
7,1.6081247242197266E8,597824.0,18428208,600000.0,18485634
8,1.6462054098583102E8,598181.0,22743090,600010.0,22804948
9,1.6991960661916763E8,599328.0,22303919,600000.0,22326757
10,1.6089473632019493E8,599216.0,20073427,600013.0,20099462
11,1.4806211871440938E8,596564.0,22868516,600004.0,22991930
12,1.6409951488470286E8,599462.0,22416534,600006.0,22435306
13,1.562618125593069E8,599794.0,21098439,600013.0,21103973
14,1.386180997341162E8,595260.0,21761550,600001.0,21918972
15,1.5512841565706605E8,595874.0,21258613,600014.0,21387676
16,1.423463610730969E8,599313.0,17663417,600003.0,17676764
17,1.3278857119499055E8,595189.0,20502234,600005.0,20653639
18,1.4215371397710013E8,591398.0,21459340,600018.0,21734021
19,1.6405382316893286E8,592581.0,19805717,600004.0,20018488
