BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.804484332786369E8,598360.0,28468609,600000.0,28546757
1,1.484789319020643E8,599251.0,28237446,600009.0,28269127
2,1.7096187792906833E8,575040.0,24210678,600012.0,25199760
3,1.6721757954706976E8,596366.0,29159466,600006.0,29337028
4,1.3950706618640602E8,596987.0,27120242,600003.0,27258142
5,1.354418193697363E8,599731.0,28881303,600012.0,28893942
6,1.3884008043630058E8,599834.0,30719101,600006.0,30727326
7,1.6677415846520737E8,598922.0,26739618,600000.0,26785861
8,1.6327722645111826E8,564077.0,28122274,600003.0,29853660
9,1.6427923026075178E8,596184.0,28242653,600012.0,28423347
10,1.538644677971544E8,592124.0,27311763,600000.0,27674668
11,1.675741116965898E8,591974.0,24211787,600006.0,24544720
12,1.5745452905984995E8,597602.0,30627081,600008.0,30747698
13,1.6209610004122394E8,592427.0,28707504,600006.0,29063189
14,1.3364786832296647E8,597268.0,29943458,600002.0,30075184
15,1.5835733089845502E8,599066.0,28737337,600004.0,28782767
16,1.4637363428115848E8,583282.0,26914463,600007.0,27663715
17,1.614017589345667E8,564016.0,22539132,600008.0,23856543
18,1.3934118876374295E8,599113.0,29314916,600009.0,29354765
19,1.5372650865790924E8,599998.0,27221620,600014.0,27221742
20,1.560764530807095E8,599048.0,28667927,600001.0,28711837
21,1.4520128236878982E8,598388.0,28290888,600014.0,28364973
22,1.314802094625109E8,576573.0,26023398,600014.0,27044341
23,1.8557113796305102E8,531316.0,23097727,600006.0,25976179
24,1.5853054286405748E8,598705.0,26518251,600002.0,26573871
25,1.857719719144262E8,598246.0,28311132,600012.0,28393176
26,1.60250780747644E8,599255.0,25259848,600005.0,25291305
27,1.6175987293900046E8,591515.0,27172401,600000.0,27558717
28,1.476953258559422E8,589752.0,28020610,600003.0,28492835
29,1.1624805266923699E8,595559.0,28303016,600012.0,28513451
30,1.7272159358951968E8,598921.0,29217876,600000.0,29269091
31,1.3579851699799097E8,579981.0,27617735,600014.0,28547699
32,1.3674472516128156E8,593054.0,25966358,600008.0,26277322
33,2.051736874494734E8,590380.0,28178853,600006.0,28629425
34,1.080382389281905E8,588595.0,28622702,600000.0,29181295
35,1.2407108418681027E8,582892.0,28529467,600004.0,29346101
36,1.473424618113518E8,599768.0,28748175,600003.0,28758140
37,1.0844052887749793E8,569266.0,29352258,600004.0,30899528
38,1.493465154573373E8,545350.0,26191347,600012.0,28756618
39,1.361502234158252E8,598575.0,28226905,600012.0,28291734
40,2.05342614490179E8,599953.0,26947028,600000.0,26948975
41,1.289888369965793E8,573421.0,27748405,600009.0,28984398
42,1.420913451075906E8,586526.0,28836256,600012.0,29483811
43,1.1038621973136406E8,584599.0,28727952,600006.0,29469918
44,1.3186798808350131E8,599877.0,29665809,600002.0,29671831
45,1.8956242931609672E8,550709.0,23495723,600012.0,25529202
46,1.3327459984008887E8,594036.0,27812494,600006.0,28086126
47,1.589844251711933E8,595328.0,27701817,600000.0,27919233
48,1.0517885601550488E8,593112.0,29029003,600003.0,29361580
49,1.550437257495191E8,597174.0,28528484,600000.0,28661108
50,9.340846977758054E7,597145.0,27653393,600013.0,27785844
51,1.385502206463773E8,513278.0,23474262,600006.0,27446673
52,1.5660763965322343E8,599446.0,27106985,600008.0,27132438
53,1.5981991157072902E8,599788.0,28942302,600000.0,28951813
54,1.176696034578206E8,598128.0,26639183,600003.0,26717960
55,1.0836339470012598E8,594737.0,25659736,600004.0,25879229
56,1.7391201380926198E8,554811.0,25793831,600003.0,27816703
57,1.5977520721364954E8,599441.0,27450654,600003.0,27475641
58,1.7713911043346593E8,597137.0,29518832,600012.0,29658665
59,1.3515947188782865E8,590370.0,27091917,600012.0,27512697
60,1.1934932708308126E8,599203.0,27450126,600000.0,27486544
61,1.124078187345565E8,599681.0,27780908,600009.0,27794292
62,1.9278797730096844E8,598512.0,27021432,600012.0,27084464
63,1.1589254931867169E8,598068.0,28761153,600006.0,28855004
64,1.412468766614524E8,487632.0,22218251,600002.0,26916617
65,1.1476780036821026E8,598230.0,30057629,600011.0,30145851
66,1.3975363559151804E8,599568.0,30639637,600005.0,30661556
67,1.2046947277255997E8,596937.0,28369502,600000.0,28509270
68,1.2880844898329532E8,598518.0,27658471,600003.0,27726688
69,1.528538666965509E8,598028.0,27534650,600012.0,27625475
70,1.7594078894785303E8,596864.0,28837428,600013.0,28992799
71,1.6763727776589957E8,597005.0,26023304,600005.0,26153110
72,1.8237168911859065E8,599165.0,28748013,600008.0,28789138
73,1.6151813353796294E8,593474.0,28560262,600006.0,28855426
74,1.7146764193356794E8,593174.0,25482745,600003.0,25765966
75,1.559153332680145E8,589394.0,27173722,600004.0,27659669
76,1.4439892012827003E8,599378.0,28577331,600003.0,28606020
77,1.9119266631750065E8,592456.0,24168221,600004.0,24452725
78,1.7008978465795866E8,599512.0,25713261,600012.0,25733867
79,1.6166930755004302E8,543225.0,24597006,600012.0,27001064
80,1.1633893742886437E8,598531.0,26591975,600000.0,26658595
81,2.1638813327574584E8,591313.0,26332144,600009.0,26704829
82,1.5390412224726838E8,482748.0,21432667,600012.0,26360574
83,1.4972819864511064E8,515393.0,24120227,600006.0,27995495
84,1.8282934220060495E8,599065.0,27448077,600003.0,27490609
85,2.0822038080501163E8,468213.0,19481167,600011.0,24406251
86,1.5610432645540398E8,460679.0,21502132,600006.0,27743374
87,1.6223625511637402E8,585952.0,27289460,600000.0,27924425
88,1.0774148542155282E8,592565.0,27319120,600003.0,27663448
89,9.908805040529504E7,599549.0,30386642,600000.0,30407217
90,1.5492927714161608E8,598833.0,26815300,600013.0,26866512
91,1.2460677092234051E8,599881.0,23805766,600006.0,23810174
92,1.661878129155102E8,595070.0,28337353,600008.0,28566070
93,1.3273113987182629E8,580958.0,27560019,600002.0,28462359
94,1.2476423142371678E8,599893.0,28827028,600002.0,28831529
95,1.4737522011499882E8,594316.0,27243958,600005.0,27497722
96,1.5691816299829224E8,597034.0,29758048,600003.0,29898594
97,1.3924859928700823E8,599566.0,27389203,600004.0,27408525
98,1.3522844438010195E8,585792.0,29541557,600012.0,30239989
99,1.0097883743910941E8,518472.0,26761006,600012.0,30875397

