BenchmarkNumber,Evaluation,Time,Iteration,FinalTime,FinalIteration
0,1.8937439448413566E8,599446.0,23142507,600008.0,23162235
1,1.5004016321201077E8,599320.0,25851398,600008.0,25881650
2,1.5632688551915908E8,599123.0,22097524,600013.0,22128738
3,1.6435034789608675E8,599281.0,26662189,600015.0,26694478
4,1.7162513562245494E8,591876.0,18581885,600002.0,18804705
5,1.470323198079135E8,598098.0,27035805,600004.0,27120919
6,1.438314143537071E8,597471.0,26549685,600003.0,26660183
7,1.648671846177751E8,599906.0,22399318,600015.0,22402650
8,1.6647919252350235E8,598703.0,25812822,600000.0,25868965
9,1.7322789382742554E8,599377.0,24704353,600002.0,24727250
10,1.5428752417340016E8,599619.0,24589705,600010.0,24605011
11,1.5091639999567062E8,599566.0,25695540,600003.0,25713558
12,1.7138688965701845E8,599918.0,26016252,600012.0,26020001
13,1.573762202299837E8,598587.0,26282594,600009.0,26342261
14,1.4057217837004113E8,598570.0,25520939,600007.0,25583474
15,1.6156745641384405E8,598104.0,25173731,600011.0,25248626
16,1.5704465976519072E8,599187.0,22157986,600000.0,22187237
17,1.462201129119244E8,596129.0,21931085,600005.0,22063387
18,1.429086144832835E8,599347.0,26676113,600004.0,26703679
19,1.6041192133749372E8,598151.0,26743711,600010.0,26822000
